budget,popularity,revenue,runtime,vote_average
90000000,8361.829,426769198,170,7.986
100000000,5236.756,1278766975,92,7.8
340000000,3879.447,512000000,142,7.081
15000000,2278.515,141512122,96,7.072
250000000,2453.582,185800000,135,6.116
200000000,1761.049,475766228,125,6.506
6200000,2070.002,10568631,91,7.539
250000000,1470.594,722801000,150,8.123
18000000,1327.214,70204828,103,7.27
460000000,1339.072,2319794231,192,7.705
0,1330.796,0,115,6.811
125000000,1165.847,133437105,130,6.76
0,956.767,0,104,6.808
73801827,919.727,604380922,173,7.224
75000000,906.231,269000000,116,7.27
55000000,1093.346,17100000,123,7.512
0,1427.899,200221,119,7.013
0,802.807,0,93,6.07
0,814.297,0,120,7.036
90000000,747.481,480000000,103,8.293
0,712.656,319581709,123,7.914
0,649.39,0,106,5.809
35000000,612.183,168541093,123,7.3
20000000,506.057,0,86,5.679
20000000,529.046,0,99,5.004
0,573.59,356840,106,6.9
151000000,639.865,205670000,134,7.473
65000000,481.618,24187819,93,6.921
0,469.742,0,101,6.568
0,505.484,0,103,6.718
0,494.32,0,122,7.082
3000000,428.344,55101305,116,8.037
0,418.131,0,91,6.58
250000000,477.32,859102154,162,7.253
0,438.714,0,111,7.275
200000000,441.234,393252111,124,7.095
9000000,733.999,0,122,6.544
0,379.92,0,87,6.4
45000000,378.259,55000000,92,6.224
12300000,351.45,34200000,88,7.177
12300000,351.45,34200000,88,7.177
0,382.394,0,5,5.818
200000000,365.607,760098996,137,6.865
0,325.847,0,95,6.508
32500000,364.546,89020092,96,6.326
0,352.559,0,98,6.534
40000000,378.441,211343479,83,7.349
0,357.812,0,94,5.89
0,307.145,0,110,8.008
100000000,428.508,0,140,6.375
12000000,307.445,176830912,102,7.339
100000,301.939,5200000,84,5.741
200000000,422.172,863756051,137,7.624
0,534.085,0,96,5.967
200000000,334.554,0,117,0.0
0,283.836,0,103,6.2
0,279.117,0,191,7.483
0,274.472,0,83,7.839
0,264.153,6000000,90,7.7
190000000,284.859,1515341399,137,7.236
0,292.627,0,93,6.04
25000000,305.239,51000000,107,6.889
250000000,275.437,1236005118,136,6.893
17000000,290.68,0,131,6.827
200000000,284.842,1921847111,148,8.005
0,262.752,5000000,112,6.5
0,263.689,4495365,101,6.4
3000000,270.235,16120263,107,7.273
0,249.107,0,100,6.234
0,245.381,0,89,6.825
200000000,321.465,726229501,143,7.2
20000000,259.536,54708659,100,6.397
0,234.406,0,105,7.65
110000000,242.225,402656846,122,7.592
0,246.982,0,97,6.4
0,255.649,11426555,108,7.678
170000000,221.473,1488732821,131,8.29
165000000,235.295,1001978080,147,6.843
72000000,237.727,0,112,4.818
17000000,234.477,3901839,93,6.951
0,208.822,0,85,6.091
35000000,229.763,83061158,90,7.328
0,214.222,0,111,6.363
250000000,252.617,760928081,119,6.571
0,201.72,0,45,7.136
0,231.672,0,107,6.256
40000000,233.019,171539887,122,7.318
0,217.765,0,105,7.876
55000000,219.066,326709727,131,7.448
90000000,232.284,87078875,112,7.4
