budget,popularity,revenue,runtime,vote_average,vote_count,release_date,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752,10770,homepage_bool
90000000,8361.829,426769198,170,7.986,2274,2023.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
100000000,5236.756,1278766975,92,7.8,3793,2023.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
340000000,3879.447,512000000,142,7.081,611,2023.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
15000000,2278.515,141512122,96,7.072,1407,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
250000000,2453.582,185800000,135,6.116,285,2023.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,True
200000000,1761.049,475766228,125,6.506,3017,2023.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
6200000,2070.002,10568631,91,7.539,477,2023.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False
250000000,1470.594,722801000,150,8.123,1683,2023.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
18000000,1327.214,70204828,103,7.27,1238,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
460000000,1339.072,2319794231,192,7.705,8235,2022.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1330.796,0,115,6.811,636,2023.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
125000000,1165.847,133437105,130,6.76,1797,2023.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,956.767,0,104,6.808,130,2023.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,True
73801827,919.727,604380922,173,7.224,232,2023.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
75000000,906.231,269000000,116,7.27,1465,2023.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
55000000,1093.346,17100000,123,7.512,386,2023.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,True
0,1427.899,200221,119,7.013,194,2023.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,False
0,802.807,0,93,6.07,50,2023.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,False
0,814.297,0,120,7.036,898,2023.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,True
90000000,747.481,480000000,103,8.293,5620,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,712.656,319581709,123,7.914,401,2022.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,649.39,0,106,5.809,400,2023.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True
35000000,612.183,168541093,123,7.3,1282,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True
20000000,506.057,0,86,5.679,28,2022.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20000000,529.046,0,99,5.004,351,2015.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,573.59,356840,106,6.9,53,2022.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
151000000,639.865,205670000,134,7.473,1486,2023.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
65000000,481.618,24187819,93,6.921,518,2023.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
